,Name,Year,Pos,Tm,Lg,PA,H,2B,HR,RBI,BB,BA,OBP,OPS+,TB,IBB,wOBA,wRAA,BABIP,SS
0,Alan Bannister,1980,2B,CLE,AL,-0.30642135872429355,-0.19321379712830158,0.35948113787583924,-1.1263846565815325,-0.5228648164905064,-0.03220557658754527,0.3926155182913376,0.3391424817836476,-0.13593768324935446,-0.4814341413214438,0.6421541354909968,-0.19291455439898234,-0.33621541994056303,0.6726189110438515,0
1,Alan Trammell,1980,SS,DET,AL,1.2403808814667487,1.189652431098918,0.1259863800966725,-0.17315806745012902,0.43711153343372544,1.2160701851854794,0.9307538417962292,1.0647577455280393,0.4499642693602671,0.7385674335464691,-0.47011284062425,0.606869732138121,0.740217976690235,1.040569493348585,0
2,Alfredo Griffin,1980,SS,TOR,AL,1.5660234583490733,1.1411308090558578,0.7097232745445893,-1.007231332940107,-0.5228648164905064,-0.7209094451519726,-0.525385151217005,-1.1846495720795733,-1.1612661003161922,0.76869092922222,-0.47011284062425,-1.1108072022405338,-1.6427726241853566,-0.4815580607340619,0
3,Al Bumbry,1980,OF,BAL,AL,1.876864099918565,2.0873024388955344,1.0599654112133394,-0.17315806745012902,-0.042876641528390505,1.6034661112529698,1.5005473608014086,1.4517525528583815,0.9992473499317874,1.536840068953869,1.1982876235486202,1.0117000306468327,1.4974624358855226,1.893136480086985,0
4,Al Cowens,1980,OF,DET,AL,0.7371150808304286,0.5103497224960734,0.009239001207089169,-0.5306180383744054,0.19711744595266747,0.3551903494799451,-0.0822124142129767,-0.02366515008854684,-0.4655075315922666,0.10597402435569946,0.36408739146218505,-0.4469068147752732,-0.6376041753630006,0.09182512738725933,0
5,Al Oliver,1980,OF,TEX,AL,1.6622360378824874,2.184345682981655,2.6944287156675064,1.0183751689641254,2.5170602916028946,-0.07524956837282198,1.5322025563016963,0.6052014118232578,1.1457228380841928,2.079062991117386,1.4763543675774318,0.9514199639245889,1.3371766860313534,0.9275759934339473,1
6,Al Woods,1980,OF,TOR,AL,-0.49884651779112177,-0.1689529861067714,-0.22425575657207752,0.5417618743984236,-0.2828707290094485,-0.1613375519433754,0.9307538417962292,0.7745116400302825,0.8893907338174833,0.030665285166322113,-0.19204609659543834,1.1291430878500708,0.7958900383176276,0.33307665481653215,0
7,Amos Otis,1980,OF,KCR,AL,-0.2694165204422112,-0.48434352938666364,-0.45775051435124425,-0.0540047438087036,-0.042876641528390505,-0.07524956837282198,-0.6203507377178683,-0.38647278196074264,-0.35565091547796257,-0.391063654294191,-1.0262463286818733,-0.3208456180147262,-0.45385436587476596,-0.4671723142171515,0
8,Aurelio Rodriguez,1980,3B,NYY,AL,-0.8836968359247782,-1.1636462379895083,-0.8079926510199943,-0.6497713620158307,-1.0828510206129751,-1.1943933547900165,-1.9498689487299525,-2.248885292238013,-1.7105491808877125,-1.0839040548364625,-0.7481795846530617,-1.9777551046656345,-1.6766277845364752,-1.534537353958507,0
9,Barry Bonnell,1980,OF,TOR,AL,0.18204250659919347,0.12217674615159063,0.24273375898625588,0.3034552271155727,0.07712040221213848,-0.1613375519433754,-0.0822124142129767,-0.24134972921186432,-0.0993188112112531,0.24152975489657869,-0.47011284062425,0.04387000813680542,-0.08699820267254214,-0.26229844841074323,0
10,Ben Oglivie,1980,OF,MIL,AL,1.2995886227180804,1.4807821633572802,0.7097232745445893,3.639748289075485,2.5570593061830706,0.5704103084063287,1.0573746237973802,0.7261372891139898,1.914719150884321,2.3501744521991443,4.257021807865549,1.6337855012467226,2.146130324485456,-0.15725994507450597,1
11,Bobby Brown,1980,OF,NYY,AL,-0.2842184557550441,-0.29025704121442225,-0.9247400299095776,0.42260855075699816,-0.2828707290094485,-0.5056894862255891,-0.3354539782152786,-0.6283445365422065,-0.0993188112112531,-0.08982869753668163,0.08602064743337336,-0.2190854396470564,-0.360125880139741,0.0787655600334932,0
12,Bobby Grich,1980,2B,CAL,AL,0.8259266927074264,0.3890456673884225,0.24273375898625588,0.42260855075699816,0.31711448969319644,1.86173006196463,0.012753172287886517,1.0889449209861854,0.6696775015888752,0.39214723327533335,-0.47011284062425,0.7152575194753322,0.7795801220585137,0.9230239754919549,0
13,Bobby Murcer,1980,OF,NYY,AL,-1.0317161890531077,-0.9452989387957368,-1.2749821665783276,0.3034552271155727,0.1171194167923148,-0.29046952729920555,-0.050557218712688964,0.16983225357662424,0.4865831413983685,-0.7073603588895758,-0.47011284062425,0.3810703207794605,0.0683073969567468,-1.175694632554993,0
14,Bob Bailor,1980,OF,TOR,AL,-0.7134745798271994,-0.8967773167526765,-0.691245272130411,-1.1263846565815325,-1.5228401809949146,-0.2043815437286521,-1.0951786702221844,-0.5074086592514746,-1.3077415884685977,-1.1140275505122135,-0.19204609659543834,-1.1478583529317137,-1.0988227894277862,-1.009379219191407,0
15,Bob Davis,1980,C,TOR,AL,-1.808817792976837,-1.7459057025062323,-1.041487408799161,-0.7689246856572562,-1.4028431372543857,-1.237437346575293,-1.7282825802279382,-1.7409546076169389,-1.6373114368115098,-1.611065229162104,-1.0262463286818733,-1.534071094238061,-1.002432557754262,-1.9962194514779403,0
16,Bob Molinaro,1980,OF,CHW,AL,-0.7430784504528652,-0.4600827183651334,-0.45775051435124425,-0.6497713620158307,-0.7228598893913881,-0.6348214615814192,0.6458570822936396,0.38751683269994036,0.23025103713165904,-0.5718046283486966,0.9202208795198084,0.10860537467550972,-0.09973464027299979,0.4045274556231106,0
17,Bob Watson,1980,1B,NYY,AL,0.30045798910185695,0.607392966582194,0.592975895655006,0.3034552271155727,0.5571085771742544,0.3121463576946684,1.1523402102982434,0.871260341862868,0.962628477893686,0.5578264594919635,0.36408739146218505,0.905554212101204,0.8506646505871954,1.0874985585053065,0
18,Bruce Bochte,1980,1B,SEA,AL,0.8777334663023416,0.898522698840556,1.643702305661256,0.3034552271155727,0.9570987229760177,1.3452021605413094,0.9307538417962292,1.185693622818771,0.9992473499317874,0.9042466597630993,2.5886213436926786,0.9554697531376047,1.0904229782420012,1.333618884864132,0
19,Bruce Kimm,1980,C,CHW,AL,-1.5645858603150935,-1.40625434820481,-1.1582347876887444,-1.245537980222958,-1.4028431372543857,-1.0222173876489096,-0.8735923017201702,-1.0153393438725486,-1.454217076621003,-1.5658799856484775,-1.0262463286818733,-1.453378976826514,-1.0473145318745185,-0.6220877672933631,0
20,Bucky Dent,1980,SS,NYY,AL,0.5076850834815181,0.2192199902377113,0.7097232745445893,-0.6497713620158307,-0.08287565610856683,0.3121463576946684,-0.27214358721470316,-0.12041385192113238,-0.4288886595541653,-0.059705201860930694,-0.7481795846530617,-0.42136860974423196,-0.5931526200194057,-0.5503840432980883,0
