,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Ben Simmons,2019,0.646,47.0,69.1,0.0,411732.0,1.0
Paul George,2019,0.609,45.0,75.6,5.0,197900.0,1.0
Kevin Durant,2019,0.702,47.0,79.0,9.0,612596.0,1.0
Stephen Curry,2019,0.702,36.0,77.6,5.0,1013150.0,1.0
Klay Thompson,2019,0.702,47.0,60.7,4.0,256320.0,1.0
Giannis Antetokounmpo,2019,0.739,43.0,81.0,2.0,760226.0,1.0
Khris Middleton,2019,0.739,44.0,58.8,0.0,57284.0,1.0
Bradley Beal,2019,0.435,46.0,68.8,1.0,125944.0,1.0
LaMarcus Aldridge,2019,0.562,48.0,67.4,6.0,99996.0,1.0
Kemba Walker,2019,0.478,46.0,70.0,2.0,236058.0,1.0
Karl-Anthony Towns,2019,0.478,46.0,71.6,1.0,134564.0,1.0
LeBron James,2019,0.521,34.0,78.6,14.0,1973089.0,1.0
D'Angelo Russell,2019,0.521,47.0,61.3,0.0,120341.0,1.0
Damian Lillard,2019,0.604,48.0,74.7,3.0,147652.0,1.0
James Harden,2019,0.565,43.0,85.5,6.0,507036.0,1.0
Blake Griffin,2019,0.435,44.0,73.3,5.0,325609.0,1.0
Anthony Davis,2019,0.468,41.0,85.0,5.0,292545.0,1.0
Victor Oladipo,2019,0.674,35.0,64.0,1.0,208053.0,1.0
Kyle Lowry,2019,0.729,37.0,63.6,4.0,149112.0,1.0
Kawhi Leonard,2019,0.729,36.0,80.9,2.0,452861.0,1.0
Dwyane Wade,2019,0.489,36.0,53.3,12.0,856947.0,1.0
Dirk Nowitzki,2019,0.435,15.0,35.5,13.0,421803.0,1.0
Russell Westbrook,2019,0.609,38.0,68.9,7.0,361206.0,1.0
Joel Embiid,2019,0.646,45.0,77.0,1.0,299770.0,1.0
Kyrie Irving,2019,0.617,42.0,75.1,5.0,684138.0,1.0
Devin Booker,2019,0.229,35.0,64.8,0.0,163892.0,0.0
Isaiah Briscoe,2019,0.426,25.0,35.7,0.0,22865.0,0.0
Ian Clark,2019,0.468,31.0,36.4,0.0,649.0,0.0
Ben McLemore,2019,0.511,18.0,36.3,0.0,35997.0,0.0
