"Rk","Name","Age","Tm","Lg","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB","PosSummary"
"1","Jeff Abbott","26","CHW","AL","17","64","57","5","9","0","0","2","6","1","1","5","12",".158",".222",".263",".485","23","15","4","0","1","1","0","7"
"2","Jim Abbott*","31","MIL","NL","18","24","21","0","2","0","0","0","3","0","0","0","10",".095",".095",".095",".190","-51","2","0","0","3","0","0","1"
"3","Kurt Abbott","30","COL","NL","96","305","286","41","78","17","2","8","41","3","2","16","69",".273",".310",".430",".740","68","123","4","0","2","1","0","4H/3689"
"4","Paul Abbott","31","SEA","AL","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","1"
"5","Bobby Abreu*","25","PHI","NL","152","662","546","118","183","35","11","20","93","27","9","109","113",".335",".446",".549",".995","147","300","13","3","0","4","8","*9/DH"
"6","Juan Acevedo","29","STL","NL","49","22","20","0","1","0","0","0","0","0","0","0","16",".050",".050",".050",".100","-75","1","0","0","2","0","0","1"
"7","Terry Adams","26","CHC","NL","49","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"8","Benny Agbayani","27","NYM","NL","101","314","276","42","79","18","3","14","42","6","4","32","60",".286",".363",".525",".888","125","145","8","3","0","3","4","79H/8D"
"9","Rick Aguilera","37","TOT","MLB","41","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"10","Rick Aguilera","37","CHC","NL","41","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"11","Scott Aldred*","31","TOT","MLB","32","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"12","Scott Aldred*","31","TBD","AL","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","1"
"13","Scott Aldred*","31","PHI","NL","29","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"14","Manny Alexander","28","CHC","NL","90","189","177","17","48","11","2","0","15","4","0","10","38",".271",".309",".356",".664","70","63","1","0","1","1","0","H654/9"
"15","Antonio Alfonseca","27","FLA","NL","69","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"16","Edgardo Alfonzo","25","NYM","NL","158","726","628","123","191","41","1","27","108","9","2","85","85",".304",".385",".502",".886","125","315","14","3","1","9","2","*4"
"17","Luis Alicea#","33","TEX","AL","68","196","164","33","33","10","0","3","17","2","1","28","32",".201",".316",".317",".633","60","52","4","0","3","1","0","4H5/D7"
"18","Chad Allen","24","MIN","AL","137","523","481","69","133","21","3","10","46","14","7","37","89",".277",".330",".395",".725","82","190","10","2","1","2","1","*7/HD9"
"19","Jermaine Allensworth","27","NYM","NL","40","86","73","14","16","2","0","3","9","2","1","9","23",".219",".310",".370",".679","74","27","1","1","2","1","0","98H7"
"20","Armando Almanza*","26","FLA","NL","14","3","3","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","1","0","0","0","0","1"
"21","Carlos Almanzar","25","SDP","NL","27","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"22","Hector Almonte","23","FLA","NL","15","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","1"
"23","Roberto Alomar#","31","CLE","AL","159","694","563","138","182","40","3","24","120","37","6","99","96",".323",".422",".533",".955","140","300","13","7","12","13","3","*4/HD"
"24","Sandy Alomar","33","CLE","AL","37","144","137","19","42","13","0","6","25","0","1","4","23",".307",".322",".533",".855","111","73","1","0","1","2","0","2/DH"
