Year,1B,2B,3B,SS,OF,OF.1,OF.2,C
1980,Keith Hernandez,Manny Trillo,Mike Schmidt,Garry Templeton,Dusty Baker,Andre Dawson,George Hendrick,Ted Simmons
1981,Pete Rose,Manny Trillo,Mike Schmidt,Dave Concepción,Dusty Baker,Andre Dawson,George Foster,Gary Carter
1982,Al Oliver,Joe Morgan,Mike Schmidt,Dave Concepción,Dale Murphy,Pedro Guerrero,Leon Durham,Gary Carter
1983,George Hendrick,Johnny Ray,Mike Schmidt,Dickie Thon,Dale Murphy,Andre Dawson,José Cruz,Terry Kennedy
1984,Keith Hernandez,Ryne Sandberg,Mike Schmidt,Garry Templeton,Dale Murphy,Tony Gwynn,José Cruz,Gary Carter
1985,Jack Clark,Ryne Sandberg,Tim Wallach,Hubie Brooks,Dale Murphy,Willie McGee,Dave Parker,Gary Carter
1986,Glenn Davis,Steve Sax,Mike Schmidt,Hubie Brooks,Tim Raines,Tony Gwynn,Dave Parker,Gary Carter
1987,Jack Clark,Juan Samuel,Tim Wallach,Ozzie Smith,Andre Dawson,Tony Gwynn,Eric Davis,Benito Santiago
1988,Andrés Galarraga,Ryne Sandberg,Bobby Bonilla,Barry Larkin,Darryl Strawberry,Kirk Gibson,Andy Van Slyke,Benito Santiago
1989,Will Clark,Ryne Sandberg,Howard Johnson,Barry Larkin,Kevin Mitchell,Tony Gwynn,Eric Davis,Craig Biggio
1990,Eddie Murray,Ryne Sandberg,Matt Williams,Barry Larkin,Barry Bonds,Bobby Bonilla,Darryl Strawberry,Benito Santiago
1991,Will Clark,Ryne Sandberg,Howard Johnson,Barry Larkin,Barry Bonds,Bobby Bonilla,Ron Gant,Benito Santiago
1992,Fred McGriff,Ryne Sandberg,Gary Sheffield,Barry Larkin,Barry Bonds,Larry Walker,Andy Van Slyke,Darren Daulton
1993,Fred McGriff,Robby Thompson,Matt Williams,Jay Bell,Barry Bonds,Lenny Dykstra,David Justice,Mike Piazza
1994,Jeff Bagwell,Craig Biggio,Matt Williams,Wil Cordero,Barry Bonds,Tony Gwynn,Moisés Alou,Mike Piazza
1995,Eric Karros,Craig Biggio,Vinny Castilla,Barry Larkin,Sammy Sosa,Tony Gwynn,Dante Bichette,Mike Piazza
1996,Andrés Galarraga,Eric Young,Ken Caminiti,Barry Larkin,Barry Bonds,Gary Sheffield,Ellis Burks,Mike Piazza
1997,Jeff Bagwell,Craig Biggio,Vinny Castilla,Jeff Blauser,Barry Bonds,Tony Gwynn,Larry Walker,Mike Piazza
1998,Mark McGwire,Craig Biggio,Vinny Castilla,Barry Larkin,Sammy Sosa,Greg Vaughn,Moisés Alou,Mike Piazza
1999,Jeff Bagwell,Edgardo Alfonzo,Chipper Jones,Barry Larkin,Sammy Sosa,Vladimir Guerrero,Larry Walker ,Mike Piazza
2000,Todd Helton,Jeff Kent,Chipper Jones,Édgar Rentería,Barry Bonds,Vladimir Guerrero,Sammy Sosa,Mike Piazza
2001,Todd Helton,Jeff Kent,Albert Pujols,Rich Aurilia,Barry Bonds,Luis Gonzalez,Sammy Sosa,Mike Piazza
2002,Todd Helton,Jeff Kent,Scott Rolen,Édgar Rentería,Barry Bonds,Vladimir Guerrero,Sammy Sosa,Mike Piazza
2003,Todd Helton,José Vidro,Mike Lowell,Édgar Rentería,Barry Bonds,Gary Sheffield,Albert Pujols,Javy López
2004,Albert Pujols,Mark Loretta,Adrián Beltré,Jack Wilson,Barry Bonds,Jim Edmonds,Bobby Abreu,Johnny Estrada
2005,Derrek Lee,Jeff Kent,Morgan Ensberg,Felipe López,Andruw Jones,Miguel Cabrera,Carlos Lee,Michael Barrett
2006,Ryan Howard,Chase Utley,Miguel Cabrera,José Reyes,Carlos Beltrán,Matt Holliday,Alfonso Soriano,Brian McCann
2007,Prince Fielder,Chase Utley,David Wright,Jimmy Rollins,Carlos Beltrán,Matt Holliday,Carlos Lee,Russell Martin
2008,Albert Pujols,Chase Utley,David Wright,Hanley Ramírez,Ryan Ludwick,Matt Holliday,Ryan Braun,Brian McCann
2009,Albert Pujols,Chase Utley,Ryan Zimmerman,Hanley Ramírez,Matt Kemp,Andre Ethier,Ryan Braun,Brian McCann
2010,Albert Pujols,Dan Uggla,Ryan Zimmerman,Troy Tulowitzki,Carlos González,Matt Holliday,Ryan Braun,Brian McCann
2011,Prince Fielder,Brandon Phillips,Aramis Ramírez,Troy Tulowitzki,Matt Kemp,Justin Upton,Ryan Braun,Brian McCann
2012,Adam LaRoche,Aaron Hill,Chase Headley,Ian Desmond,Andrew McCutchen,Jay Bruce,Ryan Braun,Buster Posey
2013,Paul Goldschmidt,Matt Carpenter,Pedro Álvarez,Ian Desmond,Andrew McCutchen,Jay Bruce,Michael Cuddyer,Yadier Molina
2014,Adrián González,Neil Walker,Anthony Rendon,Ian Desmond,Andrew McCutchen,Giancarlo Stanton,Justin Upton,Buster Posey
2015,Paul Goldschmidt,Dee Gordon,Nolan Arenado,Brandon Crawford,Andrew McCutchen,Bryce Harper,Carlos González,Buster Posey
2016,Anthony Rizzo,Daniel Murphy,Nolan Arenado,Corey Seager,Charlie Blackmon,Yoenis Céspedes,Christian Yelich,Wilson Ramos
2017,Paul Goldschmidt,Daniel Murphy,Nolan Arenado,Corey Seager,Charlie Blackmon,Giancarlo Stanton,Marcell Ozuna,Buster Posey
2018,Paul Goldschmidt,Javier Báez,Nolan Arenado,Trevor Story,Nick Markakis,David Peralta,Christian Yelich,J. T. Realmuto
2019,Freddie Freeman,Ozzie Albies,Anthony Rendon,Trevor Story,Ronald Acuña Jr.,Cody Bellinger,Christian Yelich,J. T. Realmuto
2020,Freddie Freeman,Donovan Solano,Manny Machado,Fernando Tatís Jr.,Juan Soto,Ronald Acuña Jr.,Mookie Betts,Travis d'Arnaud
2021,Freddie Freeman,Ozzie Albies,Austin Riley,Fernando Tatís Jr.,Juan Soto,Bryce Harper,Nick Castellanos,Buster Posey
2022,Paul Goldschmidt,Jeff McNeil,Nolan Arenado,Trea Turner,Kyle Schwarber,Mookie Betts,Juan Soto,J.T. Realmuto
