Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
1,CeeDee Lamb*+,DAL,24,WR,17,17,181,135,1749,12,80,1069,7.9,680,5.0,9.5,11,12.3,6,3.3,1,124.3,LambCe00
2,Tyreek Hill*+,MIA,29,WR,16,16,171,119,1799,13,83,1147,9.6,652,5.5,10.8,12,9.9,12,7.0,5,117.1,HillTy00
3,Amon-Ra St. Brown+,DET,24,WR,16,16,164,119,1515,10,75,847,7.1,668,5.6,7.8,10,11.9,8,4.9,3,113.7,StxxAm00
4,Evan Engram,JAX,29,TE,17,15,143,114,963,4,47,455,4.0,508,4.5,5.0,5,22.8,7,4.9,3,95.3,EngrEv00
5,Michael Pittman Jr.,IND,26,WR,16,15,156,109,1152,4,53,639,5.9,513,4.7,7.9,3,36.3,3,1.9,6,83.6,PittMi01
6,Keenan Allen*,LAC,31,WR,13,13,150,108,1243,7,57,847,7.8,396,3.7,9.6,5,21.6,5,3.3,2,106.6,AlleKe00
7,Stefon Diggs,BUF,30,WR,17,17,160,107,1183,8,58,784,7.3,399,3.7,10.3,9,11.9,8,5.0,4,94.9,DiggSt00
8,A.J. Brown*,PHI,26,WR,17,17,158,106,1456,7,70,983,9.3,473,4.5,11.7,9,11.8,7,4.4,4,100.6,BrowAJ00
9,Puka Nacua*,LAR,22,WR,17,17,160,105,1486,6,68,854,8.1,632,6.0,9.1,7,15.0,13,8.1,3,100.2,NacuPu00
10,Davante Adams,LVR,31,WR,17,17,175,103,1144,8,59,808,7.8,336,3.3,10.9,2,51.5,8,4.6,6,79.3,AdamDa01
11,Adam Thielen,CAR,33,WR,17,17,137,103,1014,4,56,669,6.5,345,3.3,7.5,2,51.5,7,5.1,1,102.3,ThieAd00
12,Ja'Marr Chase*,CIN,23,WR,16,16,145,100,1216,7,63,675,6.8,541,5.4,8.4,6,16.7,5,3.4,2,104.8,ChasJa00
13,D.J. Moore,CHI,26,WR,17,17,136,96,1364,8,64,825,8.6,539,5.6,10.9,9,10.7,4,2.9,3,113.1,MoorD.00
14,T.J. Hockenson,MIN,26,TE,15,11,127,95,960,5,48,624,6.6,336,3.5,7.7,4,23.8,4,3.1,1,105.8,HockTJ00
15,Garrett Wilson,NYJ,23,WR,17,17,168,95,1042,3,47,715,7.5,327,3.4,10.2,9,10.6,7,4.2,6,66.1,WilsGa00
16,Travis Kelce*,KAN,34,TE,15,15,121,93,984,5,50,515,5.5,469,5.0,6.7,4,23.3,7,5.8,2,106.9,KelcTr00
17,Chris Olave,NOR,23,WR,16,11,138,87,1123,5,57,776,8.9,347,4.0,13.3,3,29.0,6,4.3,3,91.5,OlavCh00
18,Sam LaPorta*,DET,22,TE,17,14,120,86,889,10,48,531,6.2,358,4.2,7.1,9,9.6,5,4.2,3,110.0,LaPoSa01
19,Chris Godwin,TAM,27,WR,17,17,130,83,1024,2,53,639,7.7,385,4.6,9.0,2,41.5,5,3.8,3,83.6,GodwCh00
20,Trey McBride,ARI,24,TE,17,12,106,81,825,3,42,386,4.8,439,5.4,6.0,10,8.1,3,2.8,4,91.9,McBrTr01
21,David Njoku*,CLE,27,TE,16,16,123,81,882,6,35,283,3.5,599,7.4,4.5,9,9.0,11,8.9,4,89.5,NjokDa00
22,DeVonta Smith,PHI,25,WR,16,16,112,81,1066,7,47,772,9.5,294,3.6,12.1,4,20.3,5,4.5,3,111.7,SmitDe07
23,Nico Collins,HOU,24,WR,15,10,109,80,1297,8,53,748,9.4,549,6.9,10.9,16,5.0,2,1.8,2,129.6,CollNi00
24,Mike Evans*,TAM,30,WR,17,17,136,79,1255,13,54,933,11.8,322,4.1,14.0,2,39.5,7,5.1,3,111.6,EvanMi00
25,Tyler Lockett,SEA,31,WR,17,17,122,79,894,5,47,684,8.7,210,2.7,10.8,1,79.0,5,4.1,4,86.6,LockTy00
26,Terry McLaurin,WAS,28,WR,17,17,132,79,1002,4,47,652,8.3,350,4.4,11.5,4,19.8,5,3.8,4,81.1,McLaTe00
27,Rashee Rice,KAN,23,WR,16,8,102,79,938,7,44,285,3.6,653,8.3,4.8,3,26.3,8,7.8,1,123.7,RiceRa01
28,Zay Flowers,BAL,23,WR,16,16,108,77,858,5,41,467,6.1,391,5.1,8.4,10,7.7,4,3.7,1,106.2,FlowZa00
29,Breece Hall,NYJ,22,RB,17,16,95,76,591,4,28,-58,-0.8,649,8.5,-0.5,10,7.6,5,5.3,1,102.2,HallBr03
30,Calvin Ridley,JAX,29,WR,17,17,136,76,1016,8,49,822,10.8,194,2.6,13.2,1,76.0,6,4.4,3,90.2,RidlCa00
31,Brandon Aiyuk,SFO,25,WR,16,16,105,75,1342,7,61,960,12.8,382,5.1,13.8,2,37.5,2,1.9,3,124.0,AiyuBr00
32,DeAndre Hopkins,TEN,31,WR,17,16,137,75,1057,7,48,834,11.1,223,3.0,14.1,4,18.8,4,2.9,6,78.6,HopkDe00
33,Alvin Kamara,NOR,28,RB,13,12,86,75,466,1,23,-35,-0.5,501,6.7,0.1,9,8.3,2,2.3,0,93.1,KamaAl00
34,Dalton Kincaid,BUF,24,TE,16,11,91,73,673,2,29,362,5.0,311,4.3,6.0,3,24.3,4,4.4,2,95.7,KincDa00
35,Cole Kmet,CHI,24,TE,17,17,90,73,719,6,36,429,5.9,290,4.0,6.2,4,18.3,1,1.1,2,112.9,KmetCo00
36,Amari Cooper*,CLE,29,WR,15,15,128,72,1250,5,50,979,13.6,271,3.8,14.3,2,36.0,7,5.5,6,83.1,CoopAm00
37,Jaylen Waddle,MIA,25,WR,14,14,104,72,1014,4,47,593,8.2,421,5.8,10.1,7,10.3,4,3.8,3,101.2,WaddJa00
38,Jake Ferguson,DAL,24,TE,17,16,102,71,761,5,40,336,4.7,425,6.0,5.1,6,11.8,5,4.9,1,103.4,FergJa00
39,Jakobi Meyers,LVR,27,WR,16,16,106,71,807,8,46,565,8.0,242,3.4,9.7,6,11.8,2,1.9,4,99.1,MeyeJa01
40,Jordan Addison,MIN,21,WR,17,14,108,70,911,10,38,649,9.3,262,3.7,12.5,4,17.5,3,2.8,8,91.2,AddiJo00
41,Drake London,ATL,22,WR,16,16,110,69,905,2,45,717,10.4,188,2.7,11.5,2,34.5,4,3.6,4,79.5,LondDr00
42,Josh Downs,IND,22,WR,17,9,98,68,771,2,30,400,5.9,371,5.5,7.2,2,34.0,5,5.1,1,95.2,DownJo00
43,Justin Jefferson,MIN,24,WR,10,9,100,68,1074,5,51,814,12.0,260,3.8,12.6,2,34.0,1,1.0,3,107.7,JeffJu00
44,Tyler Boyd,CIN,29,WR,17,13,98,67,667,2,28,388,5.8,279,4.2,6.5,2,33.5,5,5.1,4,77.2,BoydTy00
45,Christian McCaffrey*+,SFO,27,RB,16,16,83,67,564,7,31,103,1.5,461,6.9,1.8,2,33.5,0,0.0,2,113.1,McCaCh01
46,D.K. Metcalf,SEA,26,WR,16,16,119,66,1114,8,52,747,11.3,367,5.6,12.8,6,11.0,7,5.9,4,95.7,MetcDK00
47,George Kittle*+,SFO,30,TE,16,16,90,65,1020,6,42,537,8.3,483,7.4,9.5,4,16.3,4,4.4,2,122.5,KittGe00
48,Jayden Reed,GNB,23,WR,16,13,94,64,793,8,32,458,7.2,335,5.2,10.3,3,21.3,3,3.2,1,117.9,ReedJa03
49,Rachaad White,TAM,24,RB,17,17,70,64,549,3,23,-62,-1.0,611,9.5,-0.5,8,8.0,2,2.9,0,113.6,WhitRa01
50,George Pickens,PIT,22,WR,17,16,106,63,1140,5,42,752,11.9,388,6.2,13.5,5,12.6,2,1.9,3,100.4,PickGe00
51,Jaxon Smith-Njigba,SEA,21,WR,17,3,93,63,628,4,29,262,4.2,366,5.8,6.1,3,21.0,10,10.8,2,92.0,SmitJa06
52,Curtis Samuel,WAS,27,WR,16,13,91,62,613,4,26,353,5.7,260,4.2,6.6,4,15.5,2,2.2,4,83.3,SamuCu00
53,Tyler Conklin,NYJ,28,TE,17,12,87,61,621,0,27,376,6.2,245,4.0,6.9,2,30.5,2,2.3,1,85.5,ConkTy00
54,Jaylen Warren,PIT,25,RB,17,0,74,61,370,0,19,-116,-1.9,486,8.0,-1.6,7,8.7,5,6.8,0,87.5,WarrJa01
55,Wan'Dale Robinson,NYG,22,WR,15,8,78,60,525,1,29,238,4.0,287,4.8,5.3,5,12.0,3,3.8,0,98.5,RobiWa01
56,Deebo Samuel,SFO,27,WR,15,15,89,60,892,7,34,365,6.1,527,8.8,6.6,12,5.0,2,2.2,2,116.9,SamuDe00
57,Romeo Doubs,GNB,23,WR,17,16,96,59,674,8,41,540,9.2,134,2.3,11.7,1,59.0,6,6.3,3,97.3,DoubRo00
58,Dallas Goedert,PHI,28,TE,14,14,83,59,592,3,33,273,4.6,319,5.4,5.4,2,29.5,2,2.4,3,88.0,GoedDa00
59,Cooper Kupp,LAR,30,WR,12,12,95,59,737,5,33,415,7.0,322,5.5,8.3,5,11.8,4,4.2,3,90.5,KuppCo00
60,Elijah Moore,CLE,23,WR,17,12,104,59,640,2,29,449,7.6,191,3.2,11.0,4,14.8,5,4.8,2,73.4,MoorEl00
61,Dalton Schultz,HOU,27,TE,15,8,88,59,635,5,35,376,6.4,259,4.4,7.5,8,7.4,3,3.4,2,97.5,SchuDa00
62,Courtland Sutton,DEN,28,WR,16,14,90,59,772,10,37,616,10.4,156,2.6,11.8,0,,6,6.7,2,120.2,SuttCo00
63,Travis Etienne,JAX,24,RB,17,17,73,58,476,1,23,-41,-0.7,517,8.9,-0.8,12,4.8,4,5.5,0,98.4,EtieTr00
64,Bijan Robinson,ATL,21,RB,17,16,86,58,487,4,24,-32,-0.6,519,8.9,0.3,10,5.8,6,7.0,3,82.8,RobiBi01
65,Christian Kirk,JAX,27,WR,12,12,85,57,787,3,34,540,9.5,247,4.3,9.9,3,19.0,4,4.7,2,98.5,KirkCh01
66,Tony Pollard,DAL,26,RB,17,17,67,55,311,0,12,-10,-0.2,321,5.8,0.4,14,3.9,6,9.0,0,86.0,PollTo00
67,Logan Thomas,WAS,32,TE,16,15,78,55,496,4,21,267,4.9,229,4.2,6.1,1,55.0,2,2.6,2,93.7,ThomLo00
68,Brandin Cooks,DAL,30,WR,16,15,81,54,657,8,38,532,9.9,125,2.3,13.2,0,,3,3.7,4,103.8,CookBr00
69,Jerry Jeudy,DEN,24,WR,16,11,87,54,758,2,28,435,8.1,323,6.0,12.7,4,13.5,2,2.3,3,83.4,JeudJe00
70,Chigoziem Okonkwo,TEN,24,TE,17,11,77,54,528,1,25,268,5.0,260,4.8,6.8,5,10.8,6,7.8,1,88.0,OkonCh00
71,Kyle Pitts,ATL,23,TE,17,15,90,53,667,3,35,533,10.1,134,2.5,11.4,0,,4,4.4,2,83.9,PittKy00
72,Jahmyr Gibbs,DET,21,RB,15,3,71,52,316,1,20,2,0.0,314,6.0,0.1,7,7.4,8,11.3,1,80.5,GibbJa01
73,Joe Mixon,CIN,27,RB,17,17,64,52,376,3,14,-87,-1.7,463,8.9,-1.8,7,7.4,4,6.3,1,100.3,MixoJo00
