,W,L,%,P_W,P_L,P_%
0,83.0,93.0,0.472,2.0,3.0,0.4
1,15.0,17.0,0.469,0.0,0.0,0.0
2,58.0,86.0,0.403,1.0,1.0,0.5
3,36.0,11.0,0.76,5.0,3.0,0.625
4,8.0,26.0,0.235,0.0,0.0,0.0
5,205.0,220.0,0.482,7.0,9.0,0.438
6,70.0,44.0,0.614,1.0,4.0,0.2
7,3.0,14.0,0.176,0.0,0.0,0.0
8,23.0,11.0,0.677,3.0,2.0,0.6
9,159.0,129.0,0.552,7.0,9.0,0.438
10,50.0,46.0,0.521,1.0,2.0,0.333
11,,,,,,
12,211.0,144.0,0.594,10.0,14.0,0.417
13,9.0,8.0,0.529,0.0,0.0,0.0
14,8.0,9.0,0.471,0.0,0.0,0.0
15,88.0,59.0,0.599,3.0,4.0,0.429
16,16.0,18.0,0.471,0.0,0.0,0.0
17,2.0,11.0,0.154,0.0,0.0,0.0
18,25.0,55.0,0.312,0.0,0.0,0.0
19,108.0,87.0,0.554,9.0,5.0,0.643
20,268.0,210.0,0.56,16.0,18.0,0.471
21,63.0,65.0,0.492,0.0,1.0,0.0
22,238.0,210.0,0.531,8.0,10.0,0.444
23,33.0,48.0,0.409,0.0,1.0,0.0
24,17.0,31.0,0.354,0.0,0.0,0.0
25,117.0,158.0,0.425,8.0,3.0,0.727
26,3.0,14.0,0.176,0.0,0.0,0.0
27,210.0,197.0,0.516,17.0,6.0,0.739
28,146.0,95.0,0.605,14.0,10.0,0.583
29,41.0,42.0,0.494,0.0,2.0,0.0
30,12.0,22.0,0.353,0.0,0.0,0.0
31,,,,,,
32,24.0,24.0,0.5,0.0,1.0,0.0
33,170.0,263.0,0.393,7.0,5.0,0.583
34,232.0,207.0,0.528,7.0,12.0,0.368
35,34.0,17.0,0.667,2.0,3.0,0.4
36,90.0,86.0,0.511,3.0,6.0,0.333
37,26.0,22.0,0.542,2.0,2.0,0.5
38,219.0,168.0,0.566,9.0,9.0,0.5
39,99.0,76.0,0.565,7.0,6.0,0.538
40,,,,,,
41,30.0,19.0,0.612,1.0,2.0,0.333
42,,,,,,
43,56.0,75.0,0.427,0.0,2.0,0.0
44,62.0,33.0,0.651,3.0,5.0,0.375
45,96.0,48.0,0.667,6.0,6.0,0.5
46,49.0,63.0,0.438,0.0,3.0,0.0
47,183.0,152.0,0.546,7.0,11.0,0.389
48,,,,,,
49,144.0,146.0,0.497,8.0,8.0,0.5
0,79.0,97.0,0.449,5.0,4.0,0.556
1,32.0,32.0,0.5,1.0,1.0,0.5
2,199.0,219.0,0.476,4.0,9.0,0.308
3,,,,,,
4,180.0,247.0,0.422,6.0,5.0,0.545
5,98.0,128.0,0.434,2.0,3.0,0.4
6,14.0,34.0,0.292,0.0,0.0,0.0
7,7.0,9.0,0.438,0.0,0.0,0.0
8,21.0,13.0,0.618,2.0,1.0,0.667
9,127.0,144.0,0.469,2.0,4.0,0.333
10,34.0,31.0,0.523,0.0,2.0,0.0
11,269.0,224.0,0.545,8.0,12.0,0.4
12,,,,,,
13,21.0,30.0,0.412,0.0,0.0,0.0
14,16.0,18.0,0.471,0.0,0.0,0.0
15,81.0,146.0,0.357,3.0,2.0,0.6
16,34.0,15.0,0.694,3.0,3.0,0.5
17,77.0,51.0,0.602,7.0,6.0,0.538
18,,,,,,
19,35.0,15.0,0.7,3.0,3.0,0.5
20,29.0,53.0,0.354,0.0,0.0,0.0
21,9.0,8.0,0.529,0.0,0.0,0.0
22,196.0,191.0,0.506,7.0,9.0,0.438
23,58.0,70.0,0.453,2.0,2.0,0.5
24,22.0,42.0,0.344,0.0,0.0,0.0
25,17.0,63.0,0.212,0.0,0.0,0.0
26,121.0,138.0,0.467,4.0,6.0,0.4
27,11.0,5.0,0.688,3.0,0.0,1.0
