,CoachID,Name,NFL Coach Experience (thru 2023),College/Other Exp (thru 2023),Date of Birth,NFL Playing Exp,"Highest Pos NFL (1=HC, 2=Coord, 3=ST, Pos or Lower)",Highest Pos College / other Pro,# seasons as NFL Coordinator,Off/Def side of ball,1st Season as NFL HC,W,L,%,P_W,P_L,P_%,URL
0,174258.0,"Brown, Gary",11.0,6.0,7/1/1969 0:00:00,8.0,3.0,RB,0.0,Off,,83.0,93.0,0.472,2.0,3.0,0.4,https://pro-football-history.com/coach/861/gary-brown-bio
1,660434.0,"Levine, Tony",2.0,18.0,10/28/1972 0:00:00,0.0,3.0,OC,0.0,ST,,15.0,17.0,0.469,0.0,0.0,0.0,https://pro-football-history.com/coach/1177/tony-levine-bio
2,580829.0,"Scherer, Rip",9.0,30.0,8/3/1952 0:00:00,0.0,3.0,HC,0.0,Off,,58.0,86.0,0.403,1.0,1.0,0.5,https://pro-football-history.com/coach/1196/rip-scherer-bio
3,154631.0,"Drevno, Tim",3.0,29.0,3/20/1969 0:00:00,0.0,3.0,QC,0.0,Off,,36.0,11.0,0.76,5.0,3.0,0.625,https://pro-football-history.com/coach/1315/tim-drevno-bio
4,926678.0,"Senger, Connor",2.0,5.0,,0.0,3.0,OC,0.0,Off,,8.0,26.0,0.235,0.0,0.0,0.0,https://pro-football-history.com/coach/13872/connor-senger-bio
5,232621.0,"Roland, Johnny",26.0,1.0,5/21/1943 0:00:00,0.0,2.0,WR,2.0,Off,,205.0,220.0,0.482,7.0,9.0,0.438,https://pro-football-history.com/coach/1125/johnny-roland-bio
6,931662.0,"Saunders, Steve",7.0,0.0,3/23/1970 0:00:00,0.0,3.0,,0.0,,,70.0,44.0,0.614,1.0,4.0,0.2,https://pro-football-history.com/coach/2793/steve-saunders-bio
7,551190.0,"Lovo, Fernando",1.0,15.0,1/1/1988 0:00:00,0.0,3.0,DF,0.0,,,3.0,14.0,0.176,0.0,0.0,0.0,https://pro-football-history.com/coach/13755/fernando-lovo-bio
8,572765.0,"Adegoke, Stephen",2.0,3.0,1/1/1995 0:00:00,0.0,3.0,GA,0.0,Def,,23.0,11.0,0.677,3.0,2.0,0.6,https://pro-football-history.com/coach/13893/stephen-adegoke-bio
9,323691.0,"Billick, Brian",16.0,12.0,2/28/1954 0:00:00,1.0,1.0,OC,5.0,Off,1999.0,159.0,129.0,0.552,7.0,9.0,0.438,https://pro-football-history.com/coach/32/brian-billick-bio
10,938970.0,"Colombo, Marc",5.0,0.0,10/8/1978 0:00:00,10.0,3.0,,0.0,Off,,50.0,46.0,0.521,1.0,2.0,0.333,https://pro-football-history.com/coach/2393/marc-colombo-bio
11,652733.0,"Knox, Chuck",13.0,0.0,2/19/1965 0:00:00,0.0,3.0,,0.0,Def,,,,,,,,
12,354676.0,"Williams, Alan",23.0,5.0,11/4/1969 0:00:00,0.0,2.0,DB,4.0,Def,,211.0,144.0,0.594,10.0,14.0,0.417,https://pro-football-history.com/coach/1215/alan-williams-bio
13,407893.0,"Watt, Chris",1.0,4.0,8/17/1990 0:00:00,4.0,3.0,OL,0.0,Off,,9.0,8.0,0.529,0.0,0.0,0.0,https://pro-football-history.com/coach/14055/chris-watt-bio
14,813191.0,"Heyward, Keith",1.0,18.0,2/2/1980 0:00:00,0.0,3.0,AHC,0.0,DEF,,8.0,9.0,0.471,0.0,0.0,0.0,https://pro-football-history.com/coach/14092/keith-heyward-bio
