Name,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Álex Abrines,75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-1.9,0.4,-1.5,0.1
Quincy Acy,70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2.6,0.1,-2.5,-0.2
Steven Adams,76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,0.187,1.7,-0.6,1.1,2
Bam Adebayo,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6
Arron Afflalo,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009,-3.8,-1.5,-5.4,-0.6
Cole Aldrich,21,49,6,0.34,0,0.4,7,28.6,17.6,8.2,2,1.8,5.4,16.8,-0.1,0.1,0,-0.013,-6.8,-0.7,-7.5,-0.1
LaMarcus Aldridge,75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7
Jarrett Allen,72,1441,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-0.9,0.1,-0.8,0.5
Kadeem Allen,18,107,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2
Tony Allen,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.017,-5.2,-0.3,-5.5,-0.2
Al-Farouq Aminu,69,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3
Justin Anderson,38,519,13,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1
Kyle Anderson,74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4
Ryan Anderson,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9
Ike Anigbogu,11,30,21.6,0.558,0,0.667,19,15,16.9,0,1.7,8.9,14.7,20.3,0.1,0,0.1,0.165,1.8,0.1,1.9,0
Giannis Antetokounmpo,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7
Carmelo Anthony,78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0
OG Anunoby,74,1481,10,0.587,0.569,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,1.4,1.6,3,0.098,-1.2,0.6,-0.6,0.5
Ryan Arcidiacono,24,304,7.3,0.55,0.756,0.146,0.3,8.8,4.4,15.5,2.1,0,23,8.1,0.1,0.2,0.3,0.04,-4.7,0.6,-4.1,-0.2
Trevor Ariza,67,2269,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7,14.4,2.6,2.8,5.3,0.113,0,0.7,0.7,1.5
Darrell Arthur,19,141,8.4,0.559,0.489,0.064,2.4,9.5,6,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0,-0.011,-4.8,-0.5,-5.3,-0.1
Jamel Artis,15,279,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,-0.1,0.1,0,-0.006,-3.8,-1.6,-5.4,-0.2
Ömer Aşık,18,182,3.1,0.397,0,0.591,5.5,22.2,14,2.1,0.5,1.9,24.5,8.7,-0.2,0.2,-0.1,-0.021,-6.5,-1.5,-8,-0.3
D.J. Augustin,75,1760,15.4,0.615,0.504,0.35,1.9,8.2,5,24.4,1.5,0,16.5,18.6,3.3,0.8,4.1,0.11,1,-1.2,-0.2,0.8
Luke Babbitt,50,715,9.8,0.576,0.726,0.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1
Dwayne Bacon,53,713,5.8,0.431,0.224,0.13,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5
Ron Baker,29,385,9.3,0.504,0.559,0.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10,0.1,0.4,0.5,0.059,-2.8,2.4,-0.4,0.2
Wade Baldwin,7,80,16.6,0.748,0.238,0.476,1.4,9.5,5.5,9.8,1.2,1,13.6,16.1,0.2,0.1,0.3,0.187,0.2,1.7,1.9,0.1
Lonzo Ball,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,0.053,-0.7,1.6,1,1.3
J.J. Barea,69,1603,17.8,0.545,0.454,0.148,1,13.4,7,45.1,1.1,0.2,16.3,24.9,2.3,1,3.3,0.098,2.7,-1.5,1.2,1.3
