,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
1,Donovan Williams,ATL,21,2,1,1,2.1,60,1,40,40,0,0,0,0,2,0,1,2,0.042
2,Malcolm Hill,CHI,27,5,4,1,1.8,65.2,0.6,21.4,25,0,0,0,0,0.4,0.2,0.4,0.4,0.037
3,Dereon Seabron,NOP,23,5,2,3,2.3,79.2,0,0,0,0,0,0,0,0.4,0.6,0,1.2,0.029
4,Stanley Umude,DET,24,1,0,1,2.1,80,0,0,0,1,100,1,100,0,4,0,2,0.03
5,Marko Simonovic,CHI,23,7,3,4,2.8,80.9,0.1,5.9,9.1,0,0,0,0,1,1.1,0.3,2,0.039
6,Tyler Dorsey,DAL,27,3,2,1,2.8,81.3,0.3,10,14.3,0,0,0,0,0.7,1.3,1.7,1.3,0.031
7,Xavier Moon,LAC,28,4,2,2,4.9,82.5,0.8,15,20,0,0,0,0,1.5,1.5,0.8,6,0.056
8,Jordan Schakel,WAS,25,2,0,2,3.1,83.3,0,0,0,0.5,100,0,0,0,0,0,3,0.033
9,Isaiah Mobley,CLE,23,12,8,4,7,86.1,1.3,17.4,25.8,0.3,21.1,0.3,27.3,1.2,1.3,0.8,6.3,0.076
10,Chris Silva,DAL,26,1,1,0,3,87.5,0,0,0,0,0,0,0,0,0,2,4,0.04
11,Facundo Campazzo,DAL,32,8,2,6,6.5,89,0.3,4.1,5.4,0.8,75,0,0,2,1.3,1,6,0.065
12,Dylan Windler,CLE,26,3,3,0,3.5,90,0,0,0,0.3,50,0,0,0.7,0,0,2,0.031
13,Scotty Pippen Jr.,LAL,22,6,1,5,5.3,90.9,0.3,5.7,9.5,0.3,50,0.2,12.5,1.5,1.8,0,4.7,0.048
14,Vernon Carey Jr.,UTA,22,11,8,3,2.6,91.9,0.7,29.6,38.1,0.2,50,0.2,50,0.5,0.6,0.6,1.6,0.024
15,Alize Johnson,SAS,27,4,1,3,7.4,92.1,2,21.1,29.6,0.3,25,0,0,1.8,0.3,1.3,6,0.066
16,Joe Wieskamp,TOR,23,9,6,3,5.5,92.5,0.4,6.8,9.1,0,0,0,0,1.7,1.1,1.4,3.6,0.051
17,Greg Brown III,POR,21,16,10,6,5.8,92.6,1.1,17.5,23.6,0.3,28.6,0.3,38.5,2,1.5,1.1,5,0.053
18,Carlik Jones,CHI,25,7,4,3,8,93.3,0.6,6.9,10,0.3,15.4,0,0,1.1,1.6,2.1,5.7,0.07
19,Jarrell Brantley,UTA,27,4,0,4,9.7,94.9,1.3,9.3,14.3,0,0,0.5,28.6,1.8,0.8,1.5,6,0.075
20,Mac McClung,PHI,24,2,2,0,20.5,95.7,3.5,15.2,20.6,0,0,0,0,10,3.5,7.5,16,0.178
21,Boban Marjanovic,HOU,34,31,7,24,5.5,96.1,1.3,22.6,30.5,0.2,17.2,0.1,16.7,1.9,1.1,1.3,4.2,0.043
22,Tony Bradley,CHI,25,12,5,7,2.8,96.2,0.8,27.8,37,0.1,20,0.1,25,0.8,1,1,2.5,0.024
23,Lester Quinones,GSW,22,4,4,0,4.5,97.6,0.5,8.7,13.3,0.3,50,0,0,2,1.3,0,2,0.035
24,Ron Harper Jr.,TOR,23,9,6,3,5.3,98,0.4,9.3,11.8,0,0,0.1,25,0.8,1.1,0.4,3.6,0.038
25,Leandro Bolmaro,UTA,22,14,8,6,4.9,98,0.2,4,6.4,0.2,30,0.1,7.7,1.6,1.1,1.8,3.9,0.036
26,Trevelin Queen,IND,26,7,2,5,10,98,1.3,13.8,20.9,0.3,14.3,0.7,50,2.9,2.1,1.7,7.7,0.073
27,Trevor Hudgins,HOU,24,5,0,5,5.7,98.3,0,0,0,0,0,0,0,2,0.2,1.8,4,0.04
28,Kendall Brown,IND,20,6,1,5,6.7,99,0.7,8.9,13.8,0.7,36.4,0,0,2.2,3,1.5,6.7,0.055
29,Alex Len,SAC,30,26,15,11,6.2,100,1.4,19.4,27.3,0.2,12.9,0.4,68.8,2.1,1.7,1.7,5.6,0.044
29,Micah Potter,UTA,25,7,4,3,7.5,100,1.9,22,29.5,0.1,16.7,0,0,4.6,0.7,3.4,7.4,0.052
29,Michael Foster Jr.,PHI,20,1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,2,0.007
32,Dalen Terry,CHI,20,38,19,19,5.6,101.5,0.7,11.7,17.4,0.3,28.2,0.1,20.8,2.4,1.4,1.3,4.5,0.036
33,Sam Merrill,CLE,27,5,4,1,11.7,102.5,1.8,16.7,24.3,0.8,28.6,0,0,2.8,3,1,10.4,0.071
34,Jamal Cain,MIA,24,18,10,8,13.3,102.5,2.1,14.2,21.1,0.6,23.9,0.1,5.3,5.3,3.4,2.8,11.3,0.084
35,Dean Wade,CLE,26,44,30,14,20.3,103.2,3,14.6,21.7,0.6,19.6,0.5,22.8,6,5.3,5.5,20,0.118
36,Buddy Boeheim,DET,23,10,2,8,9,103.2,0.4,4.3,6.6,0.2,25,0,0,3.2,2.2,3.9,9.2,0.051
37,Jared Butler,OKC,22,6,3,3,12.8,103.6,0.5,3.4,5.2,0.8,50,0,0,4.3,4,3.5,14.7,0.073
38,Furkan Korkmaz,PHI,25,37,24,13,9.6,103.7,1,9.9,15.1,0.3,13.5,0.1,8.8,4.1,2.5,3.2,10.2,0.056
39,Christian Koloko,TOR,23,58,29,29,13.8,103.7,1.5,11,15.8,0.4,13.1,1,49.6,3.9,2.9,4.4,11.9,0.079
40,Isaiah Todd,WAS,21,6,2,4,10.2,103.7,1.7,15.2,20.8,0.2,8.3,0,0,3.8,2.8,3.3,12,0.06
41,Mamadi Diakite,CLE,26,22,15,7,8,103.9,1,13.3,21.6,0.2,13.8,0.4,52.9,2.4,2.1,1.1,7,0.044
42,James Johnson,IND,36,18,7,11,9,103.9,1.4,17.3,24.5,0.4,21.9,0.3,60,3.9,1.6,2.1,8.1,0.051
43,Vince Williams Jr.,MEM,22,15,7,8,7,104,0.7,12,18.3,0.4,30,0.1,20,2.7,1.5,2.5,7.3,0.039
44,Kira Lewis Jr.,NOP,22,25,11,14,9.4,104,1.1,10.9,16.2,0.4,21.7,0.1,11.1,3.3,3.2,2.8,9,0.052
45,Olivier Sarr,OKC,24,9,5,4,12.6,104.2,2.1,14.7,22.9,0.1,7.7,0.6,55.6,4.2,4.8,2.9,12.4,0.068
46,Ricky Rubio,CLE,32,33,23,10,17.2,104.2,1.8,11.2,17.5,0.8,31,0.2,10.3,5.1,4.5,4.9,17.2,0.094
