Name,Games Played,Mins,RPM
"Kyle Lowry, PG",78,32.2,6.61
"Stephen Curry, PG",51,32,6.2
"Fred VanVleet, PG",76,20,6.08
"Chris Paul, PG",58,31.8,5.41
"James Harden, SG",72,35.4,4.98
"Alec Peters, F",20,11.3,4.68
"Davis Bertans, SF",77,14.1,4.63
"Bradley Beal, SG",82,36.3,4.44
"Victor Oladipo, SG",75,34,4.31
"Jrue Holiday, PG",81,36.1,4.07
"Jimmy Butler, SF",59,36.7,4.01
"Anthony Davis, PF",75,36.4,3.87
"Eric Gordon, SG",69,31.2,3.72
"Robert Covington, PF",80,31.6,3.68
"Nikola Jokic, C",75,32.5,3.6
"Tyreke Evans, G",52,30.9,3.59
"Russell Westbrook, PG",80,36.4,3.56
"Eric Bledsoe, SG",74,31.4,3.54
"Buddy Hield, SG",80,25.3,3.54
"Damian Lillard, PG",73,36.6,3.5
"Klay Thompson, SG",73,34.3,3.46
"Giannis Antetokounmpo, PF",75,36.7,3.38
"Kemba Walker, PG",80,34.2,3.35
"Lou Williams, SG",79,32.8,3.32
"Nikola Mirotic, F",55,27.2,3.29
"Kyle Korver, G",73,21.6,3.26
"John Wall, PG",41,34.4,3.26
"LaMarcus Aldridge, C",75,33.5,3.15
"Jaylen Brown, SG",70,30.7,3.13
"Kyrie Irving, PG",60,32.2,3.03
"LeBron James, SF",82,36.9,3.01
"Blake Griffin, PF",58,34,2.94
"Al Horford, C",72,31.6,2.87
"Langston Galloway, SG",58,14.9,2.86
"Montrezl Harrell, C",76,17,2.79
"Kevin Durant, PF",68,34.2,2.78
"Aaron Gordon, PF",58,32.9,2.69
"JJ Redick, SG",70,30.2,2.59
"Cameron Payne, PG",25,23.3,2.48
"Delon Wright, SG",69,20.8,2.46
"Gerald Green, G",41,22.7,2.45
"Antonio Blakeney, G",19,16.5,2.37
"Mike Conley, PG",12,31.1,2.35
"Steven Adams, C",76,32.7,2.32
"Terry Rozier, SG",80,25.9,2.32
"Kristaps Porzingis, C",48,32.4,2.31
"J.J. Barea, G",69,23.2,2.23
"Trey Burke, PG",36,21.8,2.2
"Marreese Speights, F",52,13,2.19
"MarShon Brooks, G",7,27.6,2.11
"Donovan Mitchell, SG",79,33.4,1.95
"Karl-Anthony Towns, C",82,35.6,1.94
"Josh Hart, SG",63,23.2,1.91
"David West, F",73,13.7,1.9
"Tyus Jones, PG",82,17.9,1.89
"CJ McCollum, SG",81,36.1,1.88
"Lonzo Ball, PG",52,34.2,1.88
"Justin Anderson, F",38,13.7,1.87
"Pat Connaughton, SG",82,18.1,1.86
