,TEAM,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
1,Houston Rockets,65,17,3951,114.1,105.7,8.4,55.7,1.56,16.4,25.4,75,50.3,14.1,55.1,59,98.02,53.1,"8,078"
2,Toronto Raptors,59,23,3966,113,105.3,7.7,59,1.82,17.9,27.4,72.5,50.2,13.5,53.9,57.5,98.02,53.8,"8,104"
3,Golden State Warriors,58,24,3946,112.8,106.8,5.9,68.5,1.9,20.9,24.3,71.2,49.7,15.3,56.9,60.3,100.35,55.4,"8,251"
4,Boston Celtics,55,27,3961,106.8,103.2,3.6,58.6,1.6,17,26.3,73.9,50.4,14.4,51.8,55.2,96.75,51.9,"7,987"
5,Philadelphia 76ers,52,30,3956,108.5,103.9,4.6,66.3,1.64,19.1,28.6,73.6,52,16.3,53.5,56.8,100.75,54.2,"8,299"
6,Cleveland Cavaliers,50,32,3946,112,111.1,1,57.9,1.7,17.5,24.3,73,49.2,13.9,54.7,58.4,98.72,50.2,"8,114"
7,Portland Trail Blazers,49,33,3951,108.4,105.7,2.7,49.6,1.44,15,27.9,74.6,51.3,13.9,51.1,54.9,97.11,51,"7,992"
8,Indiana Pacers,48,34,3951,108.5,107.3,1.3,54.4,1.67,16.8,27.1,72.1,49.6,13.6,52.5,55.7,96.84,50.9,"7,977"
8,New Orleans Pelicans,48,34,3991,108.5,107.4,1.1,62.7,1.79,19,24,72.6,49.4,14.5,54.1,57.3,101.48,52.5,"8,443"
8,Oklahoma City Thunder,48,34,3966,110.1,106.4,3.7,53.5,1.53,15.8,32,72.5,51.5,14.3,51.4,54.6,97.34,50.8,"8,036"
8,Utah Jazz,48,34,3951,107.4,103,4.4,58.6,1.53,17.1,25.6,75.6,50.9,15.2,52.7,56.4,96.58,53.2,"7,951"
12,Minnesota Timberwolves,47,35,3961,112.5,110.2,2.3,55.3,1.82,17,28.9,72,50.3,12.8,52.3,56.6,96.75,51.8,"7,985"
12,San Antonio Spurs,47,35,3946,107.1,104.1,3,58.3,1.73,17.3,27.7,74.1,50.8,13.7,50.7,54.3,95.7,52.5,"7,867"
14,Denver Nuggets,46,36,3976,111.4,110,1.4,61.7,1.68,18.2,30,73.6,51.7,15.1,53.6,57,97.69,51.1,"8,095"
15,Miami Heat,44,38,3986,106.2,105.8,0.4,58.5,1.58,17.1,26.1,74.1,50.1,14.8,52,55.1,96.1,50.5,"7,985"
15,Milwaukee Bucks,44,38,3966,109,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48,14.2,53.1,57.1,97.03,50.2,"8,013"
17,Washington Wizards,43,39,3971,108.1,107.7,0.4,63.1,1.73,18.4,27.4,73.2,50.4,14.8,52.5,56,97.67,50.9,"8,087"
18,LA Clippers,42,40,3941,109.4,109.2,0.2,55.5,1.52,16.5,28.4,71.8,50.4,14.7,52.7,56.4,99.54,49.7,"8,167"
19,Detroit Pistons,39,43,3961,106.6,106.7,-0.1,58.2,1.7,17.1,26.9,74,49.9,13.8,51.2,54.3,96.75,48.9,"7,981"
20,Charlotte Hornets,36,46,3956,109,109,-0.1,55.4,1.7,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.66,50,"8,143"
21,Los Angeles Lakers,35,47,3981,106,107.3,-1.3,58.4,1.51,17,27.9,72.9,50.5,15.5,51.7,54.8,100.9,49.1,"8,361"
22,New York Knicks,29,53,3966,106.3,109.7,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15,51,54.4,97.64,48.1,"8,059"
23,Brooklyn Nets,28,54,3971,106.1,109.7,-3.6,61.9,1.56,17.3,25.1,73.1,48.9,15.1,51.4,55.1,99.66,47.4,"8,238"
24,Chicago Bulls,27,55,3971,103.4,110.5,-7,60.7,1.68,17.3,25.6,76.7,50,14.1,49.7,52.9,98.65,45.3,"8,160"
24,Sacramento Kings,27,55,3951,103.1,110.4,-7.3,55.6,1.57,16.6,26.4,73.1,48.9,14.3,50.2,52.9,95.5,45.1,"7,860"
26,Orlando Magic,25,57,3946,104.7,109.4,-4.7,60.4,1.61,17.5,24.8,71.4,48,14.7,51.2,54.5,98.58,47.2,"8,096"
27,Atlanta Hawks,24,58,3941,104.4,110.1,-5.7,62.2,1.53,17.6,26.3,71.9,48.9,15.7,51.2,54.7,98.76,46.8,"8,114"
27,Dallas Mavericks,24,58,3961,105.4,108.4,-2.9,59.4,1.85,17.3,22.4,74.9,47.8,12.7,51.3,54.4,96.53,47.5,"7,959"
29,Memphis Grizzlies,22,60,3941,103.6,110.4,-6.8,58.6,1.44,16.6,27.6,72.1,49.3,15.6,50,53.9,95.65,46,"7,865"
30,Phoenix Suns,21,61,3941,102.8,111.7,-9,55.3,1.35,15.6,27.1,72.4,49.3,15.5,49.5,53.2,101.14,44.2,"8,293"
